Category,Discipline,Event,World Leading,Internationally Ranked,Nationally Competitive,Development Potential
Junior Girls,Swim,200 Free,2:16 / 2:00,2:24 / 2:08,2:30 / 2:15,2:40 / 2:25
Junior Girls,Swim,400 / 500 Free,4:47 / 5:15,5:00 / 5:30,5:25 / 5:55,5:55 / 6:25
Junior Girls,Swim,800 / 1000 Free,9:55 / 10:50,10:15 / 11:10,10:45 / 11:40,11:45 / 12:40
Junior Girls,Swim,1500 / 1650 Free,17:30 / 17:40,18:00 / 18:10,19:00 / 19:10,20:30 / 20:40
Junior Girls,Run,800,2:15,2:20,2:25,2:30
Junior Girls,Run,1500,4:25,4:35,4:45,4:55
Junior Girls,Run,Mile,4:50,5:00,5:10,5:20
Junior Girls,Run,3000,9:20,9:40,10:00,10:20
Junior Girls,Run,5k,16:30,17:00,17:30,18:00
Junior Girls,Run,10k,34:00:00,35:00:00,36:00:00,37:00:00
Junior Boys,Swim,200 Free,2:03 / 1:47,2:08 / 1:52,2:16 / 2:00,2:26 / 2:10
Junior Boys,Swim,400 / 500 Free,4:25 / 4:45,4:35 / 4:55,4:55 / 5:20,5:15 / 5:40
Junior Boys,Swim,800 / 1000 Free,9:10 / 9:50,9:30 / 10:10,10:15 / 11:00,11:00 / 11:50
Junior Boys,Swim,1500 / 1650 Free,16:45 / 16:10,17:25 / 16:50,18:05 / 17:40,18:45 / 18:20
Junior Boys,Run,800,1:55,2:00,2:10,2:15
Junior Boys,Run,1500,3:55,4:05,4:25,4:40
Junior Boys,Run,Mile,4:10,4:20,4:40,4:55
Junior Boys,Run,3000,8:20,8:40,9:20,9:50
Junior Boys,Run,5k,14:10,14:40,15:30,16:10
Junior Boys,Run,10k,29:45:00,31:00:00,33:30:00,35:00:00
Women,Swim,200 Free,2:08 / 1:52,2:16 / 2:00,2:24 / 2:08,2:30 / 2:15
Women,Swim,400 / 500 Free,4:32 / 5:00,4:47 / 5:15,5:00 / 5:30,5:25 / 5:55
Women,Swim,800 / 1000 Free,9:25 / 10:20,9:55 / 10:50,10:15 / 11:10,10:45 / 11:40
Women,Swim,1500 / 1650 Free,16:50 / 17:00,17:30 / 17:40,18:00 / 18:10,19:00 / 19:10
Women,Run,800,2:10,2:15,2:20,2:30
Women,Run,1500,4:15,4:25,4:35,4:50
Women,Run,Mile,4:40,4:50,5:05,5:20
Women,Run,3000,9:00,9:20,9:40,10:10
Women,Run,5k,15:45,16:10,16:45,17:30
Women,Run,10k,32:30:00,33:20:00,34:30:00,36:00:00
Men,Swim,200 Free,1:56 / 1:40,2:03 / 1:47,2:08 / 1:52,2:16 / 2:00
Men,Swim,400 / 500 Free,4:10 / 4:30,4:25 / 4:45,4:35 / 4:55,4:55 / 5:20
Men,Swim,800 / 1000 Free,8:40 / 9:20,9:10 / 9:50,9:30 / 10:10,10:15 / 11:00
Men,Swim,1500 / 1650 Free,16:05 / 15:30,16:45 / 16:10,17:25 / 16:50,18:05 / 17:40
Men,Run,800,1:50,1:55,2:00,2:10
Men,Run,1500,3:45,3:55,4:05,4:25
Men,Run,Mile,4:00,4:10,4:20,4:40
Men,Run,3000,8:00,8:20,8:40,9:20
Men,Run,5k,13:40,14:10,14:40,15:30
Men,Run,10k,28:45:00,29:45:00,31:00:00,33:30:00
,,,,,,
,,,,,,
,,,,,,
